GEO_ID,NAME,,
48319,"Mason County, Texas",,0
48321,"Matagorda County, Texas",,40
48323,"Maverick County, Texas",,5
48325,"Medina County, Texas",,89
48327,"Menard County, Texas",,0
48329,"Midland County, Texas",,89
48331,"Milam County, Texas",,0
48333,"Mills County, Texas",,0
48335,"Mitchell County, Texas",,0
48337,"Montague County, Texas",,0
48339,"Montgomery County, Texas",,120
48341,"Moore County, Texas",,0
48343,"Morris County, Texas",,14
48345,"Motley County, Texas",,0
48347,"Nacogdoches County, Texas",,13
48349,"Navarro County, Texas",,0
48351,"Newton County, Texas",,9
48353,"Nolan County, Texas",,17
48355,"Nueces County, Texas",,86
48357,"Ochiltree County, Texas",,29
48359,"Oldham County, Texas",,0
48361,"Orange County, Texas",,18
48363,"Palo Pinto County, Texas",,0
48365,"Panola County, Texas",,22
48367,"Parker County, Texas",,35
48369,"Parmer County, Texas",,0
48371,"Pecos County, Texas",,0
48373,"Polk County, Texas",,59
48375,"Potter County, Texas",,14
48377,"Presidio County, Texas",,0
48379,"Rains County, Texas",,0
48381,"Randall County, Texas",,80
48383,"Reagan County, Texas",,16
48385,"Real County, Texas",,0
48387,"Red River County, Texas",,0
48389,"Reeves County, Texas",,0
48391,"Refugio County, Texas",,0
48393,"Roberts County, Texas",,0
48395,"Robertson County, Texas",,4
48397,"Rockwall County, Texas",,4
48399,"Runnels County, Texas",,46
48401,"Rusk County, Texas",,12
48403,"Sabine County, Texas",,16
48405,"San Augustine County, Texas",,14
48407,"San Jacinto County, Texas",,172
48409,"San Patricio County, Texas",,55
48411,"San Saba County, Texas",,0
48413,"Schleicher County, Texas",,0
48415,"Scurry County, Texas",,34
48417,"Shackelford County, Texas",,27
48419,"Shelby County, Texas",,0
48421,"Sherman County, Texas",,0
48423,"Smith County, Texas",,20
48425,"Somervell County, Texas",,0
48427,"Starr County, Texas",,42
48429,"Stephens County, Texas",,0
48431,"Sterling County, Texas",,0
48433,"Stonewall County, Texas",,9
48435,"Sutton County, Texas",,0
48437,"Swisher County, Texas",,0
48439,"Tarrant County, Texas",,908
48441,"Taylor County, Texas",,54
48443,"Terrell County, Texas",,0
48445,"Terry County, Texas",,0
48447,"Throckmorton County, Texas",,0
48449,"Titus County, Texas",,26
48451,"Tom Green County, Texas",,76
48453,"Travis County, Texas",,173
48455,"Trinity County, Texas",,0
48457,"Tyler County, Texas",,63
48459,"Upshur County, Texas",,13
48461,"Upton County, Texas",,0
48463,"Uvalde County, Texas",,15
48465,"Val Verde County, Texas",,0
48467,"Van Zandt County, Texas",,13
48469,"Victoria County, Texas",,136
48471,"Walker County, Texas",,0
48473,"Waller County, Texas",,11
48475,"Ward County, Texas",,0
48477,"Washington County, Texas",,51
48479,"Webb County, Texas",,150
48481,"Wharton County, Texas",,128
48483,"Wheeler County, Texas",,0
48485,"Wichita County, Texas",,34
48487,"Wilbarger County, Texas",,0
48489,"Willacy County, Texas",,53
48491,"Williamson County, Texas",,134
48493,"Wilson County, Texas",,78
48495,"Winkler County, Texas",,0
48497,"Wise County, Texas",,80
48499,"Wood County, Texas",,10
48501,"Yoakum County, Texas",,4
48503,"Young County, Texas",,9
48505,"Zapata County, Texas",,0
48507,"Zavala County, Texas",,0
